TSNE1,TSNE2,TSNE3,class
6.133344,5.2302675,5.3964343,5
25.79068,17.186815,-3.541225,0
13.328596,-31.261429,4.257699,4
-15.6656065,-3.9329314,-12.920909,1
-6.204235,-24.321466,-0.24652939,9
-1.063507,13.194029,-18.956888,2
-21.518242,13.856155,11.254692,1
-1.1299341,26.618721,14.699437,3
-26.177992,8.755011,11.702695,1
3.3070347,-21.364738,-17.03378,4
3.7825456,15.411219,7.7156043,3
-1.2813655,3.9594257,-7.1916423,5
7.223466,14.385947,28.534273,3
22.669178,-8.227347,-20.794998,6
-22.468334,22.342215,5.075562,1
-22.761036,-18.477291,-7.941585,7
1.6227189,27.177454,-12.500327,2
-10.82307,5.217927,3.4977174,8
8.464584,-2.0017238,-15.200833,6
-9.371205,-16.014479,-11.383424,9
16.514647,-29.887291,8.828925,4
27.707283,16.453058,-5.954994,0
-5.602249,-18.826721,-12.174402,9
-15.7192545,-4.2641206,-13.02265,1
-13.005535,16.381584,3.6855917,1
-12.470331,28.927315,-1.2976944,2
4.347684,-17.627697,-0.86963314,4
4.1151514,26.331232,27.6301,3
0.81021744,18.262049,-2.220954,2
-21.608395,-15.909808,-13.32566,7
9.395729,8.528414,28.301413,3
-8.545359,6.149552,-0.020731656,8
14.912528,-11.751112,-19.969149,6
-10.549483,-15.247832,-12.122086,9
16.036118,14.17425,-7.7139874,0
1.4749924,7.309801,-4.5140877,5
9.556587,-4.196862,-19.723124,6
19.100576,16.250711,-7.689975,0
-24.662903,-3.2729337,12.919406,7
18.978462,-6.652329,-20.563473,6
-26.126612,2.658768,3.5165215,1
-7.7571125,4.7092776,9.856338,8
-20.108032,-9.214597,6.1452155,7
-10.65828,-15.048971,-8.907875,9
-5.348852,12.704232,23.597567,3
-8.747598,-23.839529,0.8954541,9
-11.888852,-1.5998772,17.591324,8
4.146625,-1.4272976,-2.19239,5
-11.231231,5.842964,27.84359,9
0.14200082,23.560377,17.166914,3
11.225571,14.413111,12.778104,3
29.614897,11.244325,8.271751,0
-27.41682,-17.955032,9.973504,7
-0.016164027,-15.236605,-10.988964,4
-12.879617,-23.806402,2.0509439,9
-10.7731,-1.6878539,8.215146,8
28.923075,5.6438074,9.620104,0
-7.80069,-19.864908,-9.349243,9
8.347577,-23.935522,4.46011,4
-18.259438,2.9031081,-18.045996,1
19.969976,-32.265797,5.3399777,4
-0.30452973,-16.887495,-16.294912,4
7.326111,0.6405861,-19.657366,6
26.862097,23.752914,-6.3564854,0
18.49642,-29.605755,-3.2814355,4
-1.0923966,2.8839638,-8.4351845,5
13.8063,0.42095318,-18.648808,6
-27.554024,15.306362,-12.839256,1
31.564362,0.70802623,4.6052766,0
17.099262,8.616979,-4.8019605,0
-15.610222,17.57871,1.3518327,1
-21.48783,-17.938972,-10.651417,7
-23.263021,20.22077,0.9170684,1
14.769567,-2.8789518,-19.225727,6
1.2165457,14.520892,21.412746,3
19.303827,19.710493,-1.1509036,0
-12.676918,22.799097,-2.8548162,2
-17.420666,0.27555957,-9.867916,1
-17.26479,5.173634,-10.553897,1
-21.837238,-16.593826,-12.289918,7
13.459802,6.4458256,17.497492,9
17.972147,20.962957,-3.9809842,0
7.3549314,26.355862,-11.855592,2
19.897793,-0.29960728,-19.587082,6
-26.820232,-10.3443775,9.176918,7
-6.801325,5.445954,12.632405,8
7.1253443,10.7173605,25.960077,3
-8.475607,-26.60306,-9.353224,9
26.484344,6.5287433,6.470896,0
4.880109,-26.086306,-16.679323,4
19.133722,-2.3184764,-20.744213,6
-26.380054,-23.165468,-5.535001,7
14.705759,-22.852015,2.4533606,4
14.676421,1.4296842,-17.080875,6
-13.547093,-0.18081531,7.4473114,8
17.695225,16.036596,-3.5289967,0
-21.13464,-12.303876,2.0963786,7
-9.777029,2.0617654,6.7112474,8
1.4681748,15.856828,21.11742,3
-21.899498,-3.4709704,-10.56541,1
3.6591542,-7.216815,4.9841003,5
-22.70938,-24.647043,-0.61356735,7
-25.24532,20.086388,3.6650503,1
-23.268862,-18.972197,1.2216979,7
-22.986492,18.977524,13.020209,1
-19.152075,8.260943,-12.286876,1
16.76446,0.42411408,-11.262468,6
6.558547,23.543688,11.587226,3
30.733624,-0.7417225,0.6287651,0
-12.245848,15.922894,-16.610104,2
3.0749152,-18.771101,17.914394,9
-1.2300828,31.25698,16.041517,3
-28.699497,8.86444,1.1327411,1
-15.462737,8.641822,-16.017565,1
30.545328,5.958625,-3.8701935,0
2.0442822,-24.234571,-13.4122,4
-5.905564,-26.55147,8.138643,9
-12.615832,31.420513,-2.2570825,2
23.71579,14.314961,3.940124,0
27.2342,15.157333,-7.480175,0
-34.125793,-10.411125,0.70146847,2
29.050673,5.758897,-1.3991195,0
-8.172266,26.360632,-8.525721,2
-27.626852,-21.017828,-8.022707,7
-27.126421,19.801382,-5.2008986,1
-8.162777,5.3176117,10.233717,8
6.0463133,-5.028114,-14.123183,6
2.739311,-22.880424,-20.04649,4
-22.016632,10.571741,1.913703,1
11.890095,1.5430149,-21.98287,6
-0.03884222,20.99636,20.376677,3
2.162349,-20.807196,-18.12264,4
6.390802,10.496112,8.608441,5
-7.1113043,-14.857961,-5.0115123,9
-19.162216,18.583462,17.107779,1
1.6803459,24.621805,8.655462,3
2.5945034,12.603706,26.789589,3
-11.886402,9.076513,7.6721873,8
13.701961,5.9564652,9.162888,5
5.893807,-18.120173,-14.470829,4
-27.261242,-6.332849,-2.0149121,7
-21.756266,-16.305975,-12.75967,7
1.4526683,-21.43796,-4.8430185,4
-10.818966,16.735722,-12.7481365,2
-5.8531423,0.72271776,24.636173,8
1.0779053,1.200515,-7.3389883,5
-8.992051,11.425587,6.916615,8
13.092354,-6.636302,-19.347261,6
-14.700993,-7.681143,-4.828912,7
3.7022893,21.956373,27.598852,3
10.85626,-11.6230345,-3.194095,4
19.260012,-5.042526,-25.122282,6
-22.815746,15.445299,-4.7062087,1
-7.441823,-16.566425,-10.353091,9
-13.281914,-21.212364,10.031594,9
14.0023575,-1.5500947,-24.600166,6
34.587177,8.431752,-3.8727775,0
1.6568166,26.101406,9.347694,3
-19.480906,-22.052855,20.23573,7
-2.5307355,13.454785,-7.8487163,2
-13.187603,-2.8438148,23.156313,8
-11.157491,30.19882,0.3940604,2
-6.6853614,-18.40797,9.824331,9
-0.41816452,-16.60962,-16.63604,4
14.16865,-28.62695,6.19458,4
15.495872,-1.1608983,-20.318033,6
7.6373653,-18.538942,-13.283146,4
-10.466677,-25.068945,-4.1541767,9
-30.397905,-5.9017243,-1.4891026,7
17.315454,16.077337,-3.9615002,0
-3.2000432,-18.109009,11.380517,9
-2.4925878,13.528706,-7.843654,2
-19.349161,-22.176685,9.969953,9
0.5680545,6.528568,-7.5417194,5
-27.817299,3.9668915,0.5138863,1
3.1549084,2.7952125,-6.9432607,5
-3.4053175,-14.758917,7.4971437,9
-18.443918,-0.5240237,-4.6440005,1
10.43727,24.753908,-20.183332,2
-0.9897565,29.744387,12.409697,3
-10.039809,17.203243,-1.3213226,2
-2.2517242,28.765009,12.222231,3
14.333986,7.047377,15.139324,5
-12.911509,-25.613213,-1.0113728,9
-22.197025,18.829298,8.74465,1
-26.585976,-23.183798,-5.3830333,7
16.495144,-10.550426,-10.730197,6
-14.968696,28.982624,-7.6031184,2
-6.909507,-5.649856,18.97021,8
-12.057088,18.81655,-13.368493,2
-13.214482,26.410328,-14.040506,2
0.85197175,1.1631721,-7.456456,5
21.149385,15.059632,0.9613719,0
-26.250029,-23.242498,-5.6610394,7
13.727669,-25.093517,0.17127354,4
-10.998502,-18.710695,-10.57404,9
-20.349123,-19.56921,17.177582,7
-7.190345,6.5795126,4.027517,8
7.3581758,14.639263,19.6883,3
-4.3329935,14.130345,-17.532421,2
-21.866434,16.179499,9.139178,1
-14.923229,-4.6340756,-12.771769,1
-7.3890324,5.0609245,8.429257,8
-2.1924407,28.737577,12.252992,3
14.887518,-8.9237175,-17.360674,6
-14.654425,6.670582,-17.722708,1
35.341957,5.1083884,5.1256514,0
4.671831,30.931969,6.91099,3
-22.679348,8.449453,-3.3695853,1
29.202965,2.3799078,2.7881637,0
23.677158,10.107857,9.593717,0
-22.873047,10.529204,-4.280325,1
-23.106895,8.789995,13.935953,7
0.6133408,21.476177,-19.22096,2
-24.891518,-17.821894,14.682761,7
6.1939783,22.280373,9.961928,3
15.874499,6.9015884,-0.7294574,0
12.437519,-20.953533,-5.6952024,4
17.130693,-7.6743555,-9.322839,6
9.186118,5.268594,1.8755327,5
-7.9918437,25.676264,4.184764,2
24.26909,-4.556676,-18.027128,6
19.601236,-30.551796,4.0260487,4
-21.567232,-21.464813,-2.6337233,7
-18.976938,-11.36919,-8.320476,1
-4.5894246,9.084816,5.0684094,8
-4.1347275,-16.37187,14.453932,9
-7.707189,-16.674967,-2.3176441,9
4.820141,9.229018,26.04411,3
29.138659,2.7321196,5.900017,0
-25.065516,-14.720945,-5.82223,7
-20.787533,14.3106575,-4.6959505,1
12.194226,12.465966,-1.9699998,0
3.6008565,21.915676,-20.129417,2
14.421515,17.187206,0.1415873,0
5.041702,23.278175,9.566883,3
3.639784,-2.0338042,0.8583524,5
9.515916,-22.951069,-4.18899,4
22.091496,-0.6656778,-13.579599,6
10.218259,2.3782358,-4.911447,5
-15.04463,6.9880567,16.946983,8
27.452307,-9.815132,-13.335218,6
10.206854,25.643318,13.386335,3
-23.37245,-21.166079,1.4458872,7
11.230088,-2.1017766,17.36557,5
-5.303869,6.2026577,6.0670905,8
31.138376,0.91919315,8.340457,0
-8.838911,-15.860328,-2.160684,9
-20.884226,16.428795,12.412026,1
32.341255,1.3734407,1.4252325,0
9.661664,7.8578353,29.01812,3
-21.70556,8.363403,-4.1664243,1
-10.255898,20.753756,-10.28581,2
8.374832,21.99777,-21.329536,2
13.2020235,14.45733,14.499534,3
2.2406664,24.452776,8.762686,3
4.0792093,0.402186,-28.560665,6
8.437606,-21.665085,-15.102973,4
-25.451603,-9.541522,-0.017494403,7
5.9343715,7.84638,-2.7180214,5
35.402916,3.0157847,-6.6830373,0
20.547226,-4.1703644,-24.762949,6
13.442307,0.88168186,-32.551483,2
-24.490173,-21.202518,0.8011815,7
6.4797087,-22.85946,17.259972,9
-4.8273454,3.300062,5.031277,8
7.4600215,3.4881778,16.554316,5
-9.744339,-16.190271,1.3785245,9
-9.10226,12.863152,-13.005944,2
-20.095282,13.223807,-10.739655,1
-24.778406,19.634666,-5.8051476,1
10.56306,-18.269035,-8.550408,4
5.8029,-31.174648,-2.8562226,4
10.22138,2.4656298,-4.950482,5
6.462565,1.77414,-24.687872,6
8.70213,-21.578009,-15.167976,4
-27.987265,5.2927976,-3.8542905,1
6.144337,22.290247,-19.087025,2
8.913747,10.797166,7.5486903,5
-1.4287318,27.846817,15.830687,3
-5.8789635,-21.530235,-1.4566325,9
5.2025423,23.847942,11.514419,3
7.5522356,-16.232018,18.671759,9
27.827518,6.00774,0.92338973,0
15.818596,0.8379701,18.656956,5
-8.724693,-15.804772,-1.4026033,9
19.583258,3.7424636,-16.2313,6
3.7179513,7.8133826,-5.9571586,5
-24.565077,-10.799721,8.505756,7
10.838213,-18.210093,-8.671162,4
-25.609383,8.309341,-8.614016,1
3.9459102,20.278658,7.7646513,3
15.252358,-17.495167,-6.7842445,4
25.428173,10.805264,-0.37274507,0
17.970058,-33.32868,6.763501,4
-7.60563,9.907206,4.4686785,8
22.98531,10.720156,2.814762,0
8.272167,-21.80994,-15.153486,4
5.0770297,15.506933,26.430725,3
25.575655,-6.578529,-17.819696,6
-15.292546,3.892105,14.367935,8
-20.883514,-20.116468,-4.799605,7
15.24235,-2.400258,-26.146019,6
24.776241,13.846309,-4.0419955,0
-16.559263,-13.154311,13.654278,9
-23.422218,-16.471594,-7.8304667,7
19.461805,1.1333038,21.642677,5
-22.973505,-15.228616,-3.590656,7
5.474063,20.948101,-15.678716,2
-20.525507,12.080016,-15.26463,1
-29.077295,8.001136,1.7016,1
22.465662,-4.7515397,-23.47409,6
-11.462097,0.079240285,21.170876,8
-9.700179,-17.067152,-0.9720765,9
16.9621,-24.900715,-0.17924437,4
-19.23266,4.5189753,-13.704051,1
15.386613,1.0690173,18.747639,5
7.597604,19.299122,-18.722452,2
-7.5057526,17.556368,-14.779311,2
-9.28114,-21.906897,-10.614315,9
19.633417,12.488692,-0.41039956,0
4.5202494,22.997114,9.160636,3
-1.0787252,-24.827808,17.880695,9
26.133158,-9.536426,-15.22272,6
-27.371489,-4.606835,12.530403,7
5.808966,18.176088,-18.21174,2
22.650743,16.188993,2.6905353,0
4.447289,23.219044,6.914971,3
