timestamp,condition,camPos,camPos-X,camPos-Y,camPos-Z,camDir,camDir-X,camDir-Y,camDir-Z,task,user
636056668597210568,SpatialInputCamera,CameraPosition,665.6006,634.7949,-1442.179,CameraDirection,0.01422788,-0.4480751,0.8938829,NT,user-01
636056668597522936,SpatialInputCamera,CameraPosition,665.0911,636.3252,-1440.91,CameraDirection,0.01814848,-0.4521558,0.8917542,NT,user-01
636056668597522936,SpatialInputCamera,CameraPosition,665.0911,636.3252,-1440.91,CameraDirection,0.01814848,-0.4521558,0.8917542,NT,user-01
636056668597679202,SpatialInputCamera,CameraPosition,664.725,637.1167,-1439.749,CameraDirection,0.0196866,-0.4545689,0.8904942,NT,user-01
636056668597835632,SpatialInputCamera,CameraPosition,664.4752,637.6592,-1439.11,CameraDirection,0.01947965,-0.4575657,0.8889626,NT,user-01
636056668597991873,SpatialInputCamera,CameraPosition,664.4752,637.6592,-1439.11,CameraDirection,0.01947965,-0.4575657,0.8889626,NT,user-01
636056668598147946,SpatialInputCamera,CameraPosition,663.9861,638.3339,-1437.531,CameraDirection,0.01955139,-0.4604554,0.8874677,NT,user-01
636056668598304191,SpatialInputCamera,CameraPosition,663.7075,638.6251,-1436.72,CameraDirection,0.01935634,-0.4618427,0.8867511,NT,user-01
636056668598460449,SpatialInputCamera,CameraPosition,663.7075,638.6251,-1436.72,CameraDirection,0.01935634,-0.4618427,0.8867511,NT,user-01
636056668598616690,SpatialInputCamera,CameraPosition,662.9968,639.4207,-1435.218,CameraDirection,0.0202706,-0.4670963,0.883974,NT,user-01
636056668598772944,SpatialInputCamera,CameraPosition,662.9968,639.4207,-1435.218,CameraDirection,0.0202706,-0.4670963,0.883974,NT,user-01
636056668598929185,SpatialInputCamera,CameraPosition,662.1501,640.4045,-1433.579,CameraDirection,0.02191683,-0.4744009,0.8800364,NT,user-01
636056668599241980,SpatialInputCamera,CameraPosition,661.6951,641.0292,-1432.812,CameraDirection,0.0226549,-0.4791298,0.8774521,NT,user-01
636056668599397962,SpatialInputCamera,CameraPosition,661.6951,641.0292,-1432.812,CameraDirection,0.0226549,-0.4791298,0.8774521,NT,user-01
636056668599554315,SpatialInputCamera,CameraPosition,660.7798,641.9084,-1431.706,CameraDirection,0.02378554,-0.4851834,0.8740891,NT,user-01
636056668599710424,SpatialInputCamera,CameraPosition,660.0695,642.4831,-1431.074,CameraDirection,0.02391999,-0.4889597,0.8719784,NT,user-01
636056668599866830,SpatialInputCamera,CameraPosition,660.0695,642.4831,-1431.074,CameraDirection,0.02391999,-0.4889597,0.8719784,NT,user-01
636056668600023079,SpatialInputCamera,CameraPosition,658.6067,643.3867,-1429.904,CameraDirection,0.02290739,-0.4928726,0.8698003,NT,user-01
636056668600179325,SpatialInputCamera,CameraPosition,658.6067,643.3867,-1429.904,CameraDirection,0.02290739,-0.4928726,0.8698003,NT,user-01
636056668600335574,SpatialInputCamera,CameraPosition,657.1184,643.8268,-1428.936,CameraDirection,0.01792333,-0.4892637,0.8719521,NT,user-01
636056668600491824,SpatialInputCamera,CameraPosition,656.2229,643.9288,-1428.534,CameraDirection,0.01510298,-0.4864153,0.8735974,NT,user-01
636056668600648077,SpatialInputCamera,CameraPosition,654.9632,643.9877,-1427.996,CameraDirection,0.009898603,-0.4817274,0.8762654,NT,user-01
636056668600804183,SpatialInputCamera,CameraPosition,654.1563,643.9113,-1427.608,CameraDirection,0.006016486,-0.4777853,0.8784562,NT,user-01
636056668600960576,SpatialInputCamera,CameraPosition,654.1563,643.9113,-1427.608,CameraDirection,0.006016486,-0.4777853,0.8784562,NT,user-01
636056668601116834,SpatialInputCamera,CameraPosition,652.7518,643.8237,-1427.118,CameraDirection,-0.0005393996,-0.4749195,0.8800296,NT,user-01
636056668601273071,SpatialInputCamera,CameraPosition,652.7518,643.8237,-1427.118,CameraDirection,-0.0005393996,-0.4749195,0.8800296,NT,user-01
636056668601429321,SpatialInputCamera,CameraPosition,651.4709,643.669,-1426.552,CameraDirection,-0.004252796,-0.4744578,0.8802686,NT,user-01
636056668601741889,SpatialInputCamera,CameraPosition,650.9235,643.5966,-1426.299,CameraDirection,-0.005917741,-0.4745395,0.8802145,NT,user-01
636056668601897950,SpatialInputCamera,CameraPosition,650.9235,643.5966,-1426.299,CameraDirection,-0.005917741,-0.4745395,0.8802145,NT,user-01
636056668602054220,SpatialInputCamera,CameraPosition,650.0521,643.58,-1425.995,CameraDirection,-0.006282385,-0.4771771,0.8787851,NT,user-01
636056668602210622,SpatialInputCamera,CameraPosition,649.4772,643.5836,-1425.872,CameraDirection,-0.005571353,-0.4793916,0.8775837,NT,user-01
636056668602366867,SpatialInputCamera,CameraPosition,649.4772,643.5836,-1425.872,CameraDirection,-0.005571353,-0.4793916,0.8775837,NT,user-01
636056668602523125,SpatialInputCamera,CameraPosition,648.4583,643.3699,-1425.607,CameraDirection,-0.003242763,-0.4794081,0.8775864,NT,user-01
636056668602679374,SpatialInputCamera,CameraPosition,648.4583,643.3699,-1425.607,CameraDirection,-0.003242763,-0.4794081,0.8775864,NT,user-01
636056668602835628,SpatialInputCamera,CameraPosition,647.4442,643.2539,-1425.328,CameraDirection,0.0006894739,-0.4808733,0.8767901,NT,user-01
636056668602991877,SpatialInputCamera,CameraPosition,646.9818,643.2481,-1425.202,CameraDirection,0.002904591,-0.4829007,0.8756702,NT,user-01
636056668603148127,SpatialInputCamera,CameraPosition,646.5656,643.2896,-1425.136,CameraDirection,0.005046101,-0.4857836,0.8740646,NT,user-01
636056668603304380,SpatialInputCamera,CameraPosition,646.3076,643.2096,-1425.05,CameraDirection,0.005291673,-0.4855238,0.8742074,NT,user-01
636056668603460630,SpatialInputCamera,CameraPosition,646.3076,643.2096,-1425.05,CameraDirection,0.005291673,-0.4855238,0.8742074,NT,user-01
636056668603616887,SpatialInputCamera,CameraPosition,646.1359,643.048,-1424.911,CameraDirection,0.003243209,-0.4837781,0.8751847,NT,user-01
636056668603772948,SpatialInputCamera,CameraPosition,646.1359,643.048,-1424.911,CameraDirection,0.003243209,-0.4837781,0.8751847,NT,user-01
636056668603929374,SpatialInputCamera,CameraPosition,646.4456,643.1628,-1424.948,CameraDirection,-0.003570941,-0.4858982,0.8740087,NT,user-01
636056668604241853,SpatialInputCamera,CameraPosition,646.7549,643.0642,-1424.826,CameraDirection,-0.007707293,-0.486581,0.8736012,NT,user-01
636056668604397979,SpatialInputCamera,CameraPosition,646.7549,643.0642,-1424.826,CameraDirection,-0.007707293,-0.486581,0.8736012,NT,user-01
636056668604554343,SpatialInputCamera,CameraPosition,647.2382,642.9849,-1424.447,CameraDirection,-0.01511595,-0.486598,0.8734953,NT,user-01
636056668604710638,SpatialInputCamera,CameraPosition,647.4428,642.909,-1424.039,CameraDirection,-0.01923333,-0.4871479,0.8731077,NT,user-01
636056668604866690,SpatialInputCamera,CameraPosition,647.4428,642.909,-1424.039,CameraDirection,-0.01923333,-0.4871479,0.8731077,NT,user-01
636056668605022944,SpatialInputCamera,CameraPosition,647.9387,642.7944,-1423.056,CameraDirection,-0.02707169,-0.4903965,0.871079,NT,user-01
636056668605179189,SpatialInputCamera,CameraPosition,648.0918,642.5524,-1422.136,CameraDirection,-0.03145438,-0.4959466,0.8677835,NT,user-01
636056668605335443,SpatialInputCamera,CameraPosition,648.0605,642.4711,-1421.867,CameraDirection,-0.03190403,-0.4969125,0.8672141,NT,user-01
636056668605491889,SpatialInputCamera,CameraPosition,648.0605,642.4711,-1421.867,CameraDirection,-0.03190403,-0.4969125,0.8672141,NT,user-01
636056668605648143,SpatialInputCamera,CameraPosition,647.6661,642.0083,-1420.781,CameraDirection,-0.03081189,-0.5011162,0.8648315,NT,user-01
636056668605804195,SpatialInputCamera,CameraPosition,647.3055,641.6533,-1420.156,CameraDirection,-0.0284913,-0.5027646,0.8639539,NT,user-01
